id-mark;name-student;mark-descipline;mark-mark;certificate-mark
1;1;Русский язык;5;1
2;1;Математика;4;1
3;1;История;3;2
4;2;Русский язык;5;1
5;2;Математика;2;1
6;2;История;3;2
7;3;Русский язык;4;1
8;3;Математика;5;1
9;3;История;2;2
10;4;Русский язык;5;1
11;4;Математика;4;1
12;4;История;2;2
13;5;Русский язык;3;1
14;5;Математика;4;1
15;5;История;4;2
16;6;Русский язык;4;1
17;6;Математика;5;1
18;6;История;3;2
19;7;Русский язык;3;1
20;7;Математика;5;1
21;7;История;5;2
22;8;Русский язык;3;1
23;8;Математика;2;1
24;8;История;5;2
25;9;Русский язык;3;1
26;9;Математика;3;1
27;9;История;4;2
28;10;Русский язык;4;1
29;10;Математика;5;1
30;10;История;3;2
31;11;Русский язык;5;1
32;11;Математика;2;1
33;11;История;4;2
34;12;Русский язык;3;1
35;12;Математика;5;1
36;12;История;5;2
37;13;Русский язык;5;1
38;13;Математика;3;1
39;13;История;3;2
40;14;Русский язык;3;1
41;14;Математика;4;1
42;14;История;3;2
43;15;Русский язык;4;1
44;15;Математика;3;1
45;15;История;5;2